Time,PYE + IPTG,Vector,JspA,JspA(E148A),JspA-HA,JspA(E148A)-HA
20,0,0.043,0.044,0.044,0.048,0.044
40,0,0.046,0.046,0.047,0.05,0.047
60,0,0.049,0.049,0.049,0.053,0.049
80,0,0.052,0.052,0.053,0.056,0.052
100,0,0.055,0.054,0.056,0.06,0.055
120,0,0.059,0.057,0.059,0.063,0.059
140,0,0.064,0.06,0.062,0.066,0.063
160,0,0.07,0.062,0.065,0.07,0.067
180,0,0.075,0.064,0.069,0.073,0.071
200,0,0.079,0.066,0.072,0.076,0.075
220,0,0.083,0.067,0.075,0.078,0.08
240,0,0.089,0.069,0.078,0.081,0.084
260,0,0.093,0.07,0.082,0.082,0.088
280,0,0.097,0.071,0.085,0.085,0.092
300,0,0.101,0.072,0.088,0.086,0.096
320,0,0.106,0.073,0.091,0.088,0.099
340,0,0.11,0.074,0.095,0.09,0.104
360,0,0.114,0.075,0.098,0.092,0.105
380,0,0.118,0.075,0.101,0.093,0.108
400,0,0.122,0.076,0.103,0.094,0.111
420,0,0.127,0.076,0.107,0.095,0.115
440,0,0.133,0.075,0.11,0.097,0.12
460,0,0.139,0.076,0.113,0.097,0.124
480,0,0.145,0.076,0.117,0.098,0.129
500,0,0.152,0.076,0.12,0.099,0.135
520,0,0.16,0.077,0.125,0.1,0.141
540,0,0.166,0.077,0.13,0.101,0.147
560,0,0.171,0.077,0.134,0.102,0.154
580,0,0.177,0.077,0.139,0.103,0.159
600,0,0.183,0.078,0.145,0.105,0.163
620,0,0.191,0.078,0.15,0.106,0.169
640,0,0.199,0.078,0.155,0.107,0.175
660,0,0.207,0.078,0.159,0.109,0.181
680,0,0.214,0.079,0.163,0.11,0.188
700,0,0.223,0.079,0.168,0.112,0.196
720,0,0.23,0.079,0.174,0.114,0.203
740,0,0.238,0.079,0.179,0.116,0.21
760,0,0.243,0.079,0.186,0.118,0.218
780,0,0.247,0.08,0.192,0.12,0.225
800,0,0.252,0.08,0.199,0.122,0.233
820,0,0.256,0.08,0.205,0.124,0.24
840,0,0.26,0.08,0.211,0.126,0.244
860,0,0.265,0.081,0.217,0.129,0.248
880,0,0.268,0.08,0.223,0.132,0.253
900,0,0.272,0.08,0.229,0.135,0.258
920,0,0.276,0.081,0.234,0.137,0.262
940,0,0.279,0.081,0.238,0.141,0.266
960,0,0.282,0.081,0.242,0.144,0.27
980,0,0.286,0.081,0.246,0.147,0.274
1000,0,0.289,0.081,0.25,0.151,0.278
1020,0,0.292,0.082,0.254,0.154,0.281
1040,0,0.295,0.082,0.258,0.157,0.284
1060,0,0.297,0.082,0.262,0.16,0.288
1080,0,0.299,0.083,0.265,0.163,0.291
1100,0,0.301,0.083,0.268,0.167,0.294
1120,0,0.303,0.083,0.272,0.17,0.297
1140,0,0.305,0.083,0.274,0.173,0.3
1160,0,0.307,0.083,0.277,0.177,0.302
1180,0,0.31,0.084,0.28,0.182,0.304
1200,0,0.309,0.084,0.282,0.186,0.306
1220,0,0.31,0.084,0.285,0.189,0.308
1240,0,0.31,0.084,0.287,0.193,0.31
1260,0,0.311,0.085,0.29,0.197,0.311
1280,0,0.311,0.085,0.292,0.201,0.313
1300,0,0.31,0.085,0.293,0.205,0.315
1320,0,0.309,0.085,0.295,0.21,0.316
1340,0,0.309,0.085,0.297,0.212,0.317
1360,0,0.308,0.085,0.298,0.215,0.317
1380,0,0.307,0.086,0.3,0.218,0.318
1400,0,0.307,0.086,0.301,0.22,0.318
1420,0,0.307,0.086,0.302,0.223,0.318
1440,0,0.305,0.086,0.304,0.226,0.318
1460,0,0.305,0.086,0.305,0.228,0.317
