Time,PYE + IPTG,Vector,JspA,JspA(E148A),JspA-HA,JspA(E148A)-HA
20,0,0.048,0.047,0.043,0.045,0.041
40,0,0.05,0.05,0.046,0.047,0.044
60,0,0.053,0.053,0.048,0.05,0.047
80,0,0.055,0.055,0.05,0.051,0.048
100,0,0.059,0.059,0.055,0.055,0.053
120,0,0.063,0.063,0.058,0.059,0.057
140,0,0.066,0.064,0.061,0.061,0.059
160,0,0.071,0.068,0.065,0.065,0.065
180,0,0.076,0.07,0.069,0.068,0.068
200,0,0.08,0.071,0.071,0.07,0.071
220,0,0.085,0.074,0.075,0.073,0.076
240,0,0.09,0.074,0.079,0.075,0.08
260,0,0.096,0.076,0.083,0.078,0.085
280,0,0.101,0.078,0.087,0.08,0.089
300,0,0.107,0.079,0.09,0.081,0.092
320,0,0.111,0.08,0.093,0.083,0.096
340,0,0.115,0.081,0.098,0.085,0.101
360,0,0.118,0.08,0.099,0.085,0.102
380,0,0.123,0.081,0.102,0.087,0.105
400,0,0.129,0.082,0.105,0.089,0.108
420,0,0.134,0.082,0.108,0.089,0.111
440,0,0.141,0.083,0.112,0.091,0.115
460,0,0.148,0.083,0.115,0.093,0.12
480,0,0.155,0.083,0.119,0.093,0.125
500,0,0.163,0.084,0.123,0.094,0.13
520,0,0.17,0.083,0.127,0.094,0.135
540,0,0.176,0.084,0.133,0.096,0.142
560,0,0.182,0.084,0.137,0.097,0.149
580,0,0.189,0.085,0.142,0.098,0.153
600,0,0.197,0.085,0.148,0.1,0.159
620,0,0.205,0.085,0.154,0.102,0.164
640,0,0.213,0.086,0.158,0.103,0.169
660,0,0.221,0.086,0.162,0.104,0.176
680,0,0.229,0.086,0.167,0.106,0.183
700,0,0.237,0.086,0.172,0.107,0.189
720,0,0.245,0.087,0.178,0.11,0.198
740,0,0.25,0.087,0.185,0.112,0.205
760,0,0.255,0.087,0.191,0.114,0.212
780,0,0.259,0.087,0.198,0.116,0.22
800,0,0.264,0.087,0.203,0.117,0.226
820,0,0.268,0.087,0.209,0.119,0.233
840,0,0.273,0.088,0.217,0.123,0.238
860,0,0.276,0.088,0.223,0.125,0.243
880,0,0.28,0.089,0.229,0.128,0.248
900,0,0.285,0.089,0.235,0.131,0.252
920,0,0.287,0.088,0.238,0.133,0.256
940,0,0.291,0.089,0.243,0.137,0.261
960,0,0.295,0.09,0.247,0.14,0.264
980,0,0.297,0.089,0.251,0.143,0.267
1000,0,0.301,0.09,0.255,0.148,0.272
1020,0,0.305,0.091,0.259,0.15,0.275
1040,0,0.307,0.091,0.263,0.152,0.278
1060,0,0.309,0.091,0.266,0.155,0.281
1080,0,0.311,0.092,0.269,0.159,0.285
1100,0,0.313,0.092,0.273,0.162,0.288
1120,0,0.315,0.092,0.276,0.166,0.291
1140,0,0.316,0.092,0.279,0.17,0.293
1160,0,0.318,0.093,0.282,0.175,0.296
1180,0,0.32,0.093,0.284,0.177,0.298
1200,0,0.32,0.094,0.287,0.181,0.3
1220,0,0.321,0.094,0.289,0.185,0.302
1240,0,0.321,0.094,0.292,0.189,0.304
1260,0,0.32,0.094,0.293,0.192,0.305
1280,0,0.321,0.095,0.295,0.197,0.307
1300,0,0.32,0.095,0.297,0.2,0.308
1320,0,0.32,0.095,0.299,0.204,0.309
1340,0,0.319,0.096,0.301,0.208,0.31
1360,0,0.318,0.096,0.302,0.209,0.311
1380,0,0.319,0.096,0.304,0.212,0.311
1400,0,0.316,0.096,0.304,0.214,0.31
1420,0,0.316,0.097,0.307,0.217,0.311
1440,0,0.316,0.097,0.308,0.219,0.31
1460,0,0.315,0.098,0.309,0.222,0.31
