Time	PYE + IPTG	Vector	JspA	JspA(E148A)	JspA-HA	JspA(E148A)-HA
20	0	0.044	0.041	0.042	0.051	0.044
40	0	0.047	0.045	0.045	0.055	0.047
60	0	0.05	0.048	0.048	0.059	0.05
80	0	0.054	0.052	0.051	0.063	0.053
100	0	0.057	0.055	0.055	0.068	0.056
120	0	0.061	0.058	0.058	0.071	0.059
140	0	0.065	0.062	0.061	0.075	0.063
160	0	0.069	0.066	0.065	0.079	0.066
180	0	0.073	0.069	0.07	0.083	0.07
200	0	0.078	0.073	0.074	0.087	0.075
220	0	0.082	0.076	0.078	0.09	0.079
240	0	0.086	0.079	0.082	0.093	0.083
260	0	0.09	0.082	0.086	0.096	0.086
280	0	0.095	0.084	0.089	0.1	0.09
300	0	0.099	0.087	0.093	0.103	0.094
320	0	0.103	0.088	0.095	0.105	0.097
340	0	0.107	0.09	0.098	0.108	0.101
360	0	0.111	0.092	0.101	0.11	0.104
380	0	0.115	0.093	0.105	0.112	0.108
400	0	0.119	0.094	0.107	0.114	0.111
420	0	0.124	0.095	0.11	0.116	0.114
440	0	0.129	0.096	0.114	0.118	0.117
460	0	0.134	0.097	0.118	0.12	0.12
480	0	0.14	0.098	0.122	0.122	0.123
500	0	0.146	0.098	0.126	0.125	0.128
520	0	0.152	0.099	0.131	0.127	0.132
540	0	0.158	0.1	0.136	0.131	0.137
560	0	0.165	0.101	0.141	0.134	0.142
580	0	0.172	0.101	0.146	0.137	0.147
600	0	0.18	0.102	0.151	0.14	0.153
620	0	0.187	0.103	0.156	0.143	0.158
640	0	0.195	0.104	0.162	0.147	0.164
660	0	0.204	0.104	0.169	0.15	0.17
680	0	0.211	0.105	0.175	0.155	0.177
700	0	0.217	0.106	0.181	0.158	0.184
720	0	0.223	0.107	0.188	0.163	0.191
740	0	0.229	0.108	0.195	0.168	0.198
760	0	0.234	0.109	0.2	0.172	0.204
780	0	0.239	0.11	0.207	0.177	0.209
800	0	0.244	0.11	0.212	0.182	0.215
820	0	0.248	0.112	0.217	0.187	0.221
840	0	0.253	0.112	0.222	0.192	0.227
860	0	0.257	0.114	0.226	0.197	0.232
880	0	0.261	0.114	0.231	0.203	0.238
900	0	0.264	0.115	0.235	0.207	0.242
920	0	0.268	0.117	0.239	0.213	0.247
940	0	0.272	0.117	0.243	0.219	0.251
960	0	0.275	0.118	0.247	0.223	0.255
980	0	0.279	0.119	0.251	0.227	0.259
1000	0	0.281	0.12	0.255	0.23	0.263
1020	0	0.284	0.121	0.259	0.233	0.267
1040	0	0.286	0.122	0.262	0.237	0.27
1060	0	0.288	0.123	0.266	0.24	0.273
1080	0	0.29	0.125	0.269	0.243	0.277
1100	0	0.292	0.126	0.272	0.246	0.279
1120	0	0.294	0.127	0.274	0.249	0.282
1140	0	0.296	0.128	0.277	0.253	0.284
1160	0	0.297	0.129	0.279	0.255	0.285
1180	0	0.299	0.13	0.28	0.258	0.287
1200	0	0.3	0.131	0.282	0.261	0.288
1220	0	0.3	0.132	0.283	0.263	0.29
1240	0	0.301	0.133	0.285	0.265	0.291
1260	0	0.301	0.134	0.286	0.268	0.292
1280	0	0.301	0.135	0.288	0.269	0.294
1300	0	0.301	0.137	0.288	0.27	0.294
1320	0	0.301	0.138	0.289	0.272	0.295
1340	0	0.301	0.138	0.29	0.272	0.295
1360	0	0.3	0.14	0.29	0.273	0.296
1380	0	0.3	0.141	0.291	0.274	0.296
1400	0	0.299	0.142	0.292	0.275	0.296
1420	0	0.299	0.143	0.292	0.276	0.296
1440	0	0.298	0.144	0.292	0.277	0.295
1460	0	0.297	0.145	0.292	0.277	0.296
